Ball Size,,distToPlayer,,x coord,y coord,velocity
528,,67,,339,182,9.84
560,,75,,335,191,3.60
622,,90.47,,333,194,94.53
626,,99,,239,204,87.36
682,,113,,326,212,14.56
699,,115,,322,226,13.60
712,,121,,318,239,
725,,125,,314,256,17.46
747,,126,,310,274,18.43
754,,128,,,,
784,,132,,242,466,
784,,133,,246,463,
784,,134,,,,
784,,136,,434,172,
784,,138,,449,176,
804,,141,,449,176,
810,,182,,464,184,
812,,185,,465,184,
812,,186,,,,
812,,,,483,196,
812,,,,493,204,12.80
812,,,,503,212,
840,,,,,,
840,,,,424,187,
840,,,,416,191,
840,,,,,,
840,,,,231,394,
840,,,,220,394,
841,,,,207,394,
841,,,,193,396,
868,,,,180,400,
869,,,,166,404,
869,,,,,,
869,,,,267,121,
869,,,,264,123,
869,,,,262,126,
870,,,,259,130,
894,,,,256,135,
897,,,,252,144,
898,,,,251,148,
898,,,,248,156,
898,,,,245,166,
898,,,,243,177,
898,,,,240,189,
898,,,,237,203,
898,,,,235,217,
898,,,,231,237,
899,,,,228,257,
899,,,,225,276,
899,,,,222,301,
899,,,,,,
899,,,,210,398,
900,,,,206,393,
900,,,,203,390,
925,,,,200,387,
926,,,,197,387,
927,,,,,,
928,,,,,,
928,,,,,,
928,,,,,,
929,,,,,,
929,,,,,,
956,,,,,,
956,,,,,,
957,,,,,,
957,,,,,,
958,,,,,,
958,,,,,,
958,,,,,,
958,,,,,,
958,,,,,,
985,,,,,,
987,,,,,,
987,,,,,,
987,,,,,,
1001,,,,,,
1011,,,,,,
1016,,,,,,
1016,,,,,,
1019,,,,,,
1022,,,,,,
1039,,,,,,
1043,,,,,,
1045,,,,,,
1049,,,,,,
1049,,,,,,
1070,,,,,,
1105,,,,,,
1123,,,,,,
1133,,,,,,
1136,,,,,,
1178,,,,,,
1215,,,,,,
1237,,,,,,
1260,,,,,,
1266,,,,,,
1278,,,,,,
1291,,,,,,
1333,,,,,,
1352,,,,,,
2419,,,,,,
